mesh_index,h,enforcement,p,projector,exponent_label,exponent,quadrature_degree,c_stab,skipped_zero_bases
1,1.4142135623730951,multiplier,1.5,P_h,2,2.0,6,0.9679985932819047,0
1,1.4142135623730951,multiplier,1.5,P_h,p,1.5,6,0.9643102028932119,0
1,1.4142135623730951,multiplier,1.5,P_h,p_prime,3.0,6,1.0079755298652826,0
1,1.4142135623730951,multiplier,1.5,P_h_perp,2,2.0,6,0.8660254037844399,0
1,1.4142135623730951,multiplier,1.5,P_h_perp,p,1.5,6,0.9245730541082982,0
1,1.4142135623730951,multiplier,1.5,P_h_perp,p_prime,3.0,6,0.7937005259841005,0
1,1.4142135623730951,multiplier,2.5,P_h,2,2.0,6,0.9679985932819047,0
1,1.4142135623730951,multiplier,2.5,P_h,p,2.5,6,0.9894832194239539,0
1,1.4142135623730951,multiplier,2.5,P_h,p_prime,1.6666666666666667,6,0.9645774580485268,0
1,1.4142135623730951,multiplier,2.5,P_h_perp,2,2.0,6,0.8660254037844399,0
1,1.4142135623730951,multiplier,2.5,P_h_perp,p,2.5,6,0.8250130227497275,0
1,1.4142135623730951,multiplier,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.901048719994992,0
1,1.4142135623730951,strong,1.5,P_h,2,2.0,6,0.8660254037844418,0
1,1.4142135623730951,strong,1.5,P_h,p,1.5,6,0.9001255258951245,0
1,1.4142135623730951,strong,1.5,P_h,p_prime,3.0,6,0.8430968310889211,0
1,1.4142135623730951,strong,1.5,P_h_perp,2,2.0,6,0.8864052604279209,0
1,1.4142135623730951,strong,1.5,P_h_perp,p,1.5,6,0.9548609408790981,0
1,1.4142135623730951,strong,1.5,P_h_perp,p_prime,3.0,6,0.8139280597961696,0
1,1.4142135623730951,strong,2.5,P_h,2,2.0,6,0.8660254037844418,0
1,1.4142135623730951,strong,2.5,P_h,p,2.5,6,0.8552808894173859,0
1,1.4142135623730951,strong,2.5,P_h,p_prime,1.6666666666666667,6,0.8712214920740251,0
1,1.4142135623730951,strong,2.5,P_h_perp,2,2.0,6,0.8864052604279209,0
1,1.4142135623730951,strong,2.5,P_h_perp,p,2.5,6,0.842876925624543,0
1,1.4142135623730951,strong,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.928290568446866,0
2,0.7071067811865476,multiplier,1.5,P_h,2,2.0,6,1.0000000000000002,0
2,0.7071067811865476,multiplier,1.5,P_h,p,1.5,6,1.0000000000000004,0
2,0.7071067811865476,multiplier,1.5,P_h,p_prime,3.0,6,1.0011125502661578,0
2,0.7071067811865476,multiplier,1.5,P_h_perp,2,2.0,6,0.7351937751391869,0
2,0.7071067811865476,multiplier,1.5,P_h_perp,p,1.5,6,0.9404341751182514,0
2,0.7071067811865476,multiplier,1.5,P_h_perp,p_prime,3.0,6,0.690431306651991,0
2,0.7071067811865476,multiplier,2.5,P_h,2,2.0,6,1.0000000000000002,0
2,0.7071067811865476,multiplier,2.5,P_h,p,2.5,6,0.9999999999999998,0
2,0.7071067811865476,multiplier,2.5,P_h,p_prime,1.6666666666666667,6,1.0000000000000002,0
2,0.7071067811865476,multiplier,2.5,P_h_perp,2,2.0,6,0.7351937751391869,0
2,0.7071067811865476,multiplier,2.5,P_h_perp,p,2.5,6,0.7003537296097988,0
2,0.7071067811865476,multiplier,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8421108468250063,0
2,0.7071067811865476,strong,1.5,P_h,2,2.0,6,1.0000000000000002,0
2,0.7071067811865476,strong,1.5,P_h,p,1.5,6,1.0000000000000007,0
2,0.7071067811865476,strong,1.5,P_h,p_prime,3.0,6,0.9999999999999997,0
2,0.7071067811865476,strong,1.5,P_h_perp,2,2.0,6,0.7741651987573469,0
2,0.7071067811865476,strong,1.5,P_h_perp,p,1.5,6,0.9397011432974809,0
2,0.7071067811865476,strong,1.5,P_h_perp,p_prime,3.0,6,0.7069738461516897,0
2,0.7071067811865476,strong,2.5,P_h,2,2.0,6,1.0000000000000002,0
2,0.7071067811865476,strong,2.5,P_h,p,2.5,6,0.9999999999999998,0
2,0.7071067811865476,strong,2.5,P_h,p_prime,1.6666666666666667,6,1.0000000000000004,0
2,0.7071067811865476,strong,2.5,P_h_perp,2,2.0,6,0.7741651987573469,0
2,0.7071067811865476,strong,2.5,P_h_perp,p,2.5,6,0.7308893755659827,0
2,0.7071067811865476,strong,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8444809817392577,0
3,0.47140452079103173,multiplier,1.5,P_h,2,2.0,6,1.0000000000000002,0
3,0.47140452079103173,multiplier,1.5,P_h,p,1.5,6,1.0301556080551244,0
3,0.47140452079103173,multiplier,1.5,P_h,p_prime,3.0,6,1.0014606960750967,0
3,0.47140452079103173,multiplier,1.5,P_h_perp,2,2.0,6,0.7341385513756715,0
3,0.47140452079103173,multiplier,1.5,P_h_perp,p,1.5,6,0.950696317457711,0
3,0.47140452079103173,multiplier,1.5,P_h_perp,p_prime,3.0,6,0.7016837630529467,0
3,0.47140452079103173,multiplier,2.5,P_h,2,2.0,6,1.0000000000000002,0
3,0.47140452079103173,multiplier,2.5,P_h,p,2.5,6,1.0000000000000002,0
3,0.47140452079103173,multiplier,2.5,P_h,p_prime,1.6666666666666667,6,1.0000000000000007,0
3,0.47140452079103173,multiplier,2.5,P_h_perp,2,2.0,6,0.7341385513756715,0
3,0.47140452079103173,multiplier,2.5,P_h_perp,p,2.5,6,0.7143453917526476,0
3,0.47140452079103173,multiplier,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8429036313900712,0
3,0.47140452079103173,strong,1.5,P_h,2,2.0,6,1.0000000000000002,0
3,0.47140452079103173,strong,1.5,P_h,p,1.5,6,1.0298541362989946,0
3,0.47140452079103173,strong,1.5,P_h,p_prime,3.0,6,1.0,0
3,0.47140452079103173,strong,1.5,P_h_perp,2,2.0,6,0.7714304378269012,0
3,0.47140452079103173,strong,1.5,P_h_perp,p,1.5,6,0.948613083211506,0
3,0.47140452079103173,strong,1.5,P_h_perp,p_prime,3.0,6,0.704255433593243,0
3,0.47140452079103173,strong,2.5,P_h,2,2.0,6,1.0000000000000002,0
3,0.47140452079103173,strong,2.5,P_h,p,2.5,6,1.0,0
3,0.47140452079103173,strong,2.5,P_h,p_prime,1.6666666666666667,6,1.0000000000000007,0
3,0.47140452079103173,strong,2.5,P_h_perp,2,2.0,6,0.7714304378269012,0
3,0.47140452079103173,strong,2.5,P_h_perp,p,2.5,6,0.7280511672973319,0
3,0.47140452079103173,strong,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8438751212966381,0
4,0.3535533905932738,multiplier,1.5,P_h,2,2.0,6,1.0000000000000002,0
4,0.3535533905932738,multiplier,1.5,P_h,p,1.5,6,1.0719058872716665,0
4,0.3535533905932738,multiplier,1.5,P_h,p_prime,3.0,6,1.0000000000000002,0
4,0.3535533905932738,multiplier,1.5,P_h_perp,2,2.0,6,0.7427991655388333,0
4,0.3535533905932738,multiplier,1.5,P_h_perp,p,1.5,6,0.9542216013403576,0
4,0.3535533905932738,multiplier,1.5,P_h_perp,p_prime,3.0,6,0.7054034508417817,0
4,0.3535533905932738,multiplier,2.5,P_h,2,2.0,6,1.0000000000000002,0
4,0.3535533905932738,multiplier,2.5,P_h,p,2.5,6,1.0000000000000002,0
4,0.3535533905932738,multiplier,2.5,P_h,p_prime,1.6666666666666667,6,1.0000000000000004,0
4,0.3535533905932738,multiplier,2.5,P_h_perp,2,2.0,6,0.7427991655388333,0
4,0.3535533905932738,multiplier,2.5,P_h_perp,p,2.5,6,0.7203718098152693,0
4,0.3535533905932738,multiplier,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8436808578481686,0
4,0.3535533905932738,strong,1.5,P_h,2,2.0,6,1.0000000000000002,0
4,0.3535533905932738,strong,1.5,P_h,p,1.5,6,1.0718516430815808,0
4,0.3535533905932738,strong,1.5,P_h,p_prime,3.0,6,1.0000000000000002,0
4,0.3535533905932738,strong,1.5,P_h_perp,2,2.0,6,0.7711258571240355,0
4,0.3535533905932738,strong,1.5,P_h_perp,p,1.5,6,0.9534531582997271,0
4,0.3535533905932738,strong,1.5,P_h_perp,p_prime,3.0,6,0.7039546770013874,0
4,0.3535533905932738,strong,2.5,P_h,2,2.0,6,1.0000000000000002,0
4,0.3535533905932738,strong,2.5,P_h,p,2.5,6,1.0000000000000002,0
4,0.3535533905932738,strong,2.5,P_h,p_prime,1.6666666666666667,6,1.0000000000000004,0
4,0.3535533905932738,strong,2.5,P_h_perp,2,2.0,6,0.7711258571240355,0
4,0.3535533905932738,strong,2.5,P_h_perp,p,2.5,6,0.7277531575644791,0
4,0.3535533905932738,strong,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8439374104940399,0
5,0.2828427124746191,multiplier,1.5,P_h,2,2.0,6,1.0000000000000002,0
5,0.2828427124746191,multiplier,1.5,P_h,p,1.5,6,1.0929001420160132,0
5,0.2828427124746191,multiplier,1.5,P_h,p_prime,3.0,6,1.0000000000000002,0
5,0.2828427124746191,multiplier,1.5,P_h_perp,2,2.0,6,0.7481191592404965,0
5,0.2828427124746191,multiplier,1.5,P_h_perp,p,1.5,6,0.9624792255923119,0
5,0.2828427124746191,multiplier,1.5,P_h_perp,p_prime,3.0,6,0.7067460459706404,0
5,0.2828427124746191,multiplier,2.5,P_h,2,2.0,6,1.0000000000000002,0
5,0.2828427124746191,multiplier,2.5,P_h,p,2.5,6,1.0000000000000002,0
5,0.2828427124746191,multiplier,2.5,P_h,p_prime,1.6666666666666667,6,1.0000000000000004,0
5,0.2828427124746191,multiplier,2.5,P_h_perp,2,2.0,6,0.7481191592404965,0
5,0.2828427124746191,multiplier,2.5,P_h_perp,p,2.5,6,0.7233936115327739,0
5,0.2828427124746191,multiplier,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8441121419727439,0
5,0.2828427124746191,strong,1.5,P_h,2,2.0,6,1.0000000000000002,0
5,0.2828427124746191,strong,1.5,P_h,p,1.5,6,1.0928740429336241,0
5,0.2828427124746191,strong,1.5,P_h,p_prime,3.0,6,1.0000000000000002,0
5,0.2828427124746191,strong,1.5,P_h_perp,2,2.0,6,0.7710454199941733,0
5,0.2828427124746191,strong,1.5,P_h_perp,p,1.5,6,0.9625085945934407,0
5,0.2828427124746191,strong,1.5,P_h_perp,p_prime,3.0,6,0.7038751993493026,0
5,0.2828427124746191,strong,2.5,P_h,2,2.0,6,1.0000000000000002,0
5,0.2828427124746191,strong,2.5,P_h,p,2.5,6,1.0000000000000002,0
5,0.2828427124746191,strong,2.5,P_h,p_prime,1.6666666666666667,6,1.0000000000000004,0
5,0.2828427124746191,strong,2.5,P_h_perp,2,2.0,6,0.7710454199941733,0
5,0.2828427124746191,strong,2.5,P_h_perp,p,2.5,6,0.7276757716378149,0
5,0.2828427124746191,strong,2.5,P_h_perp,p_prime,1.6666666666666667,6,0.8440130480515803,0
6,0.23570226039551595,multiplier,1.5,P_h,2,2.0,6,1.0000000000000002,0
6,0.23570226039551595,multiplier,1.5,P_h,p,1.5,6,1.1047782877863048,0
