coarse_level,fine_level,eoc_velocity_total,eoc_pressure_pprime,eoc_pressure_l2
1,2,0.7346533537196168,0.4426388250254747,0.7283439693839235
2,3,0.6552087629276906,0.37137828430676517,0.6824929251975317
3,4,0.5978013262152142,0.3543183106831061,0.674376334562261
4,5,0.5609493453541873,0.34670978339181296,0.6718920083536927
5,6,0.5387105388630474,0.34268548301616075,0.6713344946998625
6,7,0.5256810755643759,0.34052956253410327,0.6713253798817063
